playerID,Total_Wins,Total_Losses,Total_Games,Win_Percentage,First_Yr_Mgr,Last_Yr_Mgr,Yrs_As_Mgr,Avg_Rank
craftha01,360.0,485.0,849.0,0.42402826855123676,1957.0,1964.0,8.0,7.625
craigro01,738.0,737.0,1475.0,0.5003389830508475,1978.0,1992.0,10.0,3.6
crandde01,364.0,469.0,833.0,0.4369747899159664,1972.0,1984.0,6.0,5.5
cranesa01,73.0,79.0,154.0,0.474025974025974,1880.0,1884.0,2.0,5.0
cravaga01,91.0,137.0,228.0,0.3991228070175439,1919.0,1920.0,2.0,8.0
cravebi01,91.0,101.0,195.0,0.4666666666666667,1871.0,1876.0,5.0,5.8
creamge01,0.0,8.0,8.0,0.0,1884.0,1884.0,1.0,10.0
cronijo01,1236.0,1055.0,2315.0,0.5339092872570195,1933.0,1947.0,15.0,3.8666666666666667
crookja01,27.0,33.0,62.0,0.43548387096774194,1892.0,1892.0,1.0,9.0
crossla01,8.0,30.0,38.0,0.21052631578947367,1899.0,1899.0,1.0,12.0
cubbami01,3.0,4.0,7.0,0.42857142857142855,1991.0,1991.0,1.0,5.0
curtied99,6.0,19.0,25.0,0.24,1884.0,1884.0,1.0,10.0
cushmch99,21.0,15.0,36.0,0.5833333333333334,1891.0,1891.0,1.0,3.0
cuthbne01,37.0,43.0,80.0,0.4625,1882.0,1882.0,1.0,5.0
dahlebi01,251.0,355.0,615.0,0.408130081300813,1910.0,1913.0,4.0,6.5
darkal01,994.0,954.0,1950.0,0.5097435897435898,1961.0,1977.0,13.0,4.230769230769231
davenji01,56.0,88.0,144.0,0.3888888888888889,1985.0,1985.0,1.0,6.0
davidmo99,35.0,54.0,93.0,0.3763440860215054,1888.0,1888.0,2.0,7.0
davisge01,107.0,139.0,252.0,0.4246031746031746,1895.0,1901.0,3.0,8.0
davisha01,54.0,71.0,127.0,0.4251968503937008,1912.0,1912.0,1.0,5.0
davissp01,1.0,2.0,3.0,0.3333333333333333,1946.0,1946.0,1.0,7.0
dayjo99,29.0,35.0,66.0,0.4393939393939394,1899.0,1899.0,1.0,10.0
deaneha01,2.0,3.0,5.0,0.4,1871.0,1871.0,1.0,8.0
defrato99,16.0,25.0,41.0,0.3902439024390244,2012.0,2012.0,1.0,6.0
dentbu01,36.0,53.0,89.0,0.4044943820224719,1989.0,1990.0,2.0,6.0
dickebi01,57.0,48.0,105.0,0.5428571428571428,1946.0,1946.0,1.0,3.0
diddlha99,7.0,10.0,17.0,0.4117647058823529,1896.0,1896.0,1.0,11.0
dierkla01,435.0,348.0,783.0,0.5555555555555556,1997.0,2001.0,6.0,1.5
dobyla01,37.0,50.0,87.0,0.42528735632183906,1978.0,1978.0,1.0,5.0
donovbi01,245.0,301.0,552.0,0.4438405797101449,1915.0,1921.0,4.0,5.75
donovpa01,684.0,879.0,1597.0,0.4283030682529743,1897.0,1911.0,11.0,6.090909090909091
dooinre01,392.0,370.0,775.0,0.5058064516129033,1910.0,1914.0,5.0,4.2
dorgami01,67.0,70.0,138.0,0.4855072463768116,1879.0,1881.0,3.0,5.666666666666667
dowdto01,31.0,60.0,92.0,0.33695652173913043,1896.0,1897.0,2.0,11.5
doyleja01,40.0,40.0,81.0,0.49382716049382713,1895.0,1898.0,2.0,10.0
dressch01,1008.0,973.0,1990.0,0.5065326633165829,1934.0,1966.0,16.0,4.75
duffyhu01,535.0,671.0,1221.0,0.4381654381654382,1901.0,1922.0,8.0,5.875
dunlafr01,145.0,102.0,252.0,0.5753968253968254,1882.0,1889.0,5.0,5.4
durocle01,2008.0,1709.0,3739.0,0.5370419898368548,1939.0,1973.0,26.0,3.1923076923076925
dwyerfr01,52.0,83.0,137.0,0.3795620437956204,1902.0,1902.0,1.0,7.0
dyered01,446.0,325.0,777.0,0.574002574002574,1946.0,1950.0,5.0,2.4
dykesji01,1406.0,1541.0,2962.0,0.474679270762998,1934.0,1961.0,22.0,5.045454545454546
ebbetch99,38.0,68.0,110.0,0.34545454545454546,1898.0,1898.0,1.0,10.0
edwardo01,173.0,207.0,380.0,0.45526315789473687,1987.0,1989.0,3.0,6.333333333333333
elberki01,27.0,71.0,98.0,0.2755102040816326,1908.0,1908.0,1.0,8.0
eliale01,238.0,300.0,539.0,0.44155844155844154,1982.0,1988.0,4.0,5.0
ellicjo01,6.0,6.0,13.0,0.46153846153846156,1884.0,1884.0,1.0,5.0
elliobo01,58.0,96.0,155.0,0.3741935483870968,1960.0,1960.0,1.0,8.0
ensje01,176.0,167.0,344.0,0.5116279069767442,1929.0,1931.0,3.0,4.0
ermerca01,145.0,129.0,276.0,0.5253623188405797,1967.0,1968.0,2.0,4.5
essiaji01,59.0,63.0,122.0,0.48360655737704916,1991.0,1991.0,1.0,4.0
esterdu01,2.0,8.0,10.0,0.2,1889.0,1889.0,1.0,8.0
eversjo01,180.0,192.0,375.0,0.48,1913.0,1924.0,4.0,6.0
ewingbu01,489.0,395.0,903.0,0.5415282392026578,1890.0,1900.0,7.0,5.0
faatzja01,9.0,24.0,34.0,0.2647058823529412,1890.0,1890.0,1.0,8.0
falkbi01,1.0,0.0,1.0,1.0,1933.0,1933.0,1.0,4.0
fanniji01,116.0,103.0,219.0,0.5296803652968036,1981.0,1984.0,3.0,3.0
farreja02,24.0,27.0,51.0,0.47058823529411764,1881.0,1881.0,1.0,2.0
farrejo03,586.0,548.0,1134.0,0.5167548500881834,2011.0,2017.0,7.0,3.0
farreke01,76.0,77.0,153.0,0.49673202614379086,1957.0,1957.0,1.0,6.0
felskjo01,190.0,194.0,384.0,0.4947916666666667,1985.0,1987.0,3.0,3.6666666666666665
fergubo01,417.0,516.0,949.0,0.43940990516332984,1871.0,1887.0,16.0,5.8125
ferrami01,76.0,98.0,174.0,0.4367816091954023,1983.0,1986.0,2.0,5.0
fessewa99,4.0,7.0,11.0,0.36363636363636365,1890.0,1890.0,1.0,6.0
